#file automatically generated
#size: 14 3
          1           0           0
       0.01           0           0
        100           0           0
          3           0           0
   0.558764           0           0
    39.3225   -0.156691   0.0073088
    585.542    -5.29853 -0.00455205
   -5.29853     3.50971 -0.00181769
-0.00455205 -0.00181769 1.64309e-05
   0.441236           0           0
    110.948   -0.049021 0.000684601
    847.611    -19.6543  -0.0128507
   -19.6543     4.22098 -0.00010063
 -0.0128507 -0.00010063 4.72494e-07
