#file automatically generated
#size: 14 3
           1            0            0
        0.01            0            0
         100            0            0
           3            0            0
    0.370186            0            0
     115.701   -0.0386481  0.000518503
     763.633     -15.9225  -0.00813912
    -15.9225      3.75361 -0.000148144
 -0.00813912 -0.000148144  2.55159e-07
    0.629814            0            0
       44.51     -0.15826   0.00718472
     758.628       -8.187   -0.0276016
      -8.187      3.56785  -0.00210669
  -0.0276016  -0.00210669  2.44389e-05
